language,precision,recall,accuracy,f1-score,specificity,samples
af,99.72,99.89,99.99,99.81,100,10000
am,99.79,88.64,99.99,93.89,100,537
ar,89.34,99.86,99.82,94.31,99.82,10000
as,14.35,92.82,99.85,24.85,99.85,181
az,99.79,18.66,98.8,31.44,100,10000
be,99.93,99.28,99.99,99.6,100,10000
bg,99.78,99.91,100,99.85,100,10000
bn,99.25,84.83,99.77,91.48,99.99,10000
br,98.04,100,99.99,99.01,99.99,2305
ca,99.9,99.8,100,99.85,100,10000
cs,99.6,99.84,99.99,99.72,99.99,10000
cy,99.66,99.95,99.99,99.81,99.99,10000
da,99.16,99.74,99.98,99.45,99.99,10000
de,99.47,99.86,99.99,99.67,99.99,10000
el,99.97,99.58,99.99,99.77,100,10000
en,71.15,99.84,99.4,83.09,99.39,10000
eo,99.76,99.93,100,99.85,100,10000
es,99.6,99.31,99.98,99.45,99.99,10000
et,99.94,99.97,100,99.96,100,10000
eu,99.84,99.18,99.99,99.51,100,10000
fa,57.36,98.98,98.9,72.63,98.89,10000
fi,99.89,99.98,100,99.94,100,10000
fr,99.73,99.82,99.99,99.78,100,10000
ga,99.89,99.93,100,99.91,100,2696
gd,99.85,100,100,99.92,100,2620
gl,99.67,99.12,99.98,99.39,100,10000
gu,100,99.99,100,99.99,100,10000
he,100,99.99,100,99.99,100,10000
hi,96.44,99.57,99.94,97.98,99.94,10000
hr,51.29,99.88,98.59,67.77,98.58,10000
hu,99.85,99.91,100,99.88,100,10000
hy,100,99.55,100,99.77,100,1775
id,99.89,99.63,99.99,99.76,100,10000
ig,97.55,100,100,98.76,100,359
is,99.79,99.94,100,99.87,100,10000
it,99.87,99.88,100,99.88,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,82.55,99.74,90.44,100,10000
kk,99.99,95.84,99.94,97.87,100,10000
km,98.38,98.95,99.96,98.66,99.98,10000
kn,100,94.42,99.95,97.13,100,6073
ko,65.75,99.95,99.23,79.32,99.22,10000
ku,99.9,19.81,98.81,33.06,100,10000
lt,99.99,99.89,100,99.94,100,10000
lv,99.95,99.99,100,99.97,100,10000
mk,99.99,99.75,100,99.87,100,10000
ml,99.13,96.33,99.93,97.71,99.99,10000
mn,99.98,46.34,99.24,63.32,100,9565
mr,98.19,75.47,99.96,85.35,100,1007
my,100,83.05,99.75,90.74,100,10000
ne,99.85,99.83,100,99.84,100,10000
nl,99.91,99.75,99.99,99.83,100,10000
no,99.8,99.22,99.99,99.51,100,10000
or,100,98.92,100,99.46,100,185
pl,99.94,99.97,100,99.96,100,10000
ps,15.92,100,99.57,27.47,99.57,547
pt,99.45,99.67,99.99,99.56,99.99,10000
ro,99.92,99.92,100,99.92,100,10000
ru,99.91,99.26,99.99,99.58,100,10000
sd,97.21,99.96,99.97,98.57,99.97,7666
si,100,99.99,100,99.99,100,10000
sk,99.91,99.62,99.99,99.76,100,10000
sl,99.65,99.68,99.99,99.67,99.99,10000
so,27.27,3.09,99.97,5.56,100,194
sq,99.85,99.55,99.99,99.7,100,10000
sr,100,4.99,98.59,9.51,100,10000
sv,99.85,99.89,100,99.87,100,10000
sw,99.92,98.74,99.98,99.33,100,10000
ta,100,87.27,99.81,93.2,100,10000
te,100,94.18,99.91,97,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.91,92.24,99.88,95.92,100,10000
tr,99.67,99.91,99.99,99.79,100,10000
uk,99.99,99.67,99.99,99.83,100,10000
ur,90.13,99.92,99.84,94.77,99.84,10000
uz,86.84,100,100,92.96,100,66
vi,99.88,99.86,100,99.87,100,10000
xh,99.98,100,100,99.99,100,10000
zh,98.46,98.78,99.96,98.62,99.98,10000
Micro,94.34,93.84,99.89,94.09,99.94,675776
Macro,94.22,92.94,99.86,91.03,99.94,675776
