language,precision,recall,accuracy,f1-score,specificity,samples
af,15.86,93.31,99.79,27.12,99.8,4407
am,89.18,66.67,100,76.3,100,309
ar,99.59,73.89,99.83,84.83,100,68392
as,97.17,79.92,99.97,87.7,100,14681
az,11.74,65.12,99.56,19.9,99.59,9002
be,68.66,49.78,99.9,57.71,99.97,14276
bg,52.06,69.26,99.78,59.44,99.85,25367
bn,47.97,89.91,99.84,62.56,99.86,15806
br,48.23,79.38,99.92,60.01,99.94,7999
ca,30.21,82.93,99.81,44.28,99.82,9969
cs,46.39,82.18,99.11,59.3,99.25,84123
cy,23.6,87.84,99.95,37.2,99.95,1777
da,90.33,79.04,99.82,84.31,99.95,65861
de,99.27,97.77,99.8,98.51,99.95,727114
el,100,95.47,99.98,97.68,100,40218
en,97.68,97.74,99.15,97.71,99.47,1986627
eo,96.92,92.76,99.25,94.79,99.76,793577
es,93.85,83.12,99.13,88.16,99.78,415801
et,67.65,78.43,99.97,72.64,99.98,6115
eu,51.18,88.71,99.94,64.91,99.95,6326
fa,98.26,96.25,99.98,97.24,99.99,31457
fi,97.1,80.1,99.68,87.78,99.97,151584
fr,98.06,94.41,99.53,96.2,99.88,673450
fy,11.21,78.2,99.96,19.61,99.96,711
ga,62.5,88.93,99.98,73.41,99.99,2972
gd,32.86,95.14,99.98,48.85,99.98,1050
gl,12.96,69.96,99.67,21.88,99.69,7085
gn,24.04,76.89,99.92,36.63,99.92,3367
gu,84.07,91.07,100,87.43,100,168
ha,76.03,93.46,99.93,83.85,99.94,21821
he,99.95,89.44,99.79,94.4,100,209347
hi,48.62,96.05,99.85,64.56,99.85,15624
hr,13.07,78.01,99.7,22.39,99.71,6006
ht,0.84,91.26,99.9,1.66,99.9,103
hu,99.54,80.84,99.23,89.22,99.98,421697
hy,100,89.18,99.97,94.28,100,29696
id,89.34,92.04,99.95,90.67,99.97,25952
ig,0.42,82.61,99.91,0.83,99.91,46
is,73.6,93.75,99.95,82.46,99.96,13390
it,98.72,84.42,98.54,91.01,99.9,935157
ja,99.99,99.96,100,99.97,100,246319
jv,7.43,56.43,99.9,13.14,99.91,1430
ka,100,81.18,99.99,89.62,100,7074
kk,85.51,60.82,99.98,71.08,100,4385
km,0.68,99.47,96.64,1.34,96.64,2461
kn,80.25,82.58,100,81.4,100,310
ko,100,97.87,100,98.92,100,14509
ku,43.27,84.42,99.88,57.22,99.89,10281
ky,32.02,60.63,99.99,41.91,99.99,536
lg,1.8,58,99.93,3.49,99.93,250
li,0.58,40.43,99.97,1.14,99.97,47
ln,46.03,96.8,99.95,62.39,99.95,4781
lo,99.57,100,100,99.78,100,229
lt,97.5,82.9,99.76,89.61,99.97,131515
lv,52.14,82.56,99.89,63.92,99.91,12480
mg,1.57,90.41,99.96,3.08,99.96,73
mk,81.45,61.9,99.62,70.34,99.9,78244
ml,100,87.02,100,93.06,100,878
mn,77.07,81.48,99.99,79.21,99.99,2792
mr,99.88,89.93,99.93,94.65,100,77592
my,100,41.78,100,58.94,100,584
ne,94.41,76.13,99.99,84.29,100,4500
nl,95.99,90.12,99.75,92.96,99.93,193399
om,0.38,60,99.99,0.76,99.99,10
or,76.92,44.67,100,56.51,100,403
pa,100,93.15,100,96.45,100,219
pl,98.1,81.8,99.75,89.21,99.98,132808
ps,5.81,95.74,99.99,10.96,99.99,47
pt,95.94,88.5,99.38,92.07,99.84,437510
qu,9.82,46.44,99.98,16.21,99.98,435
rm,0.06,65.38,99.75,0.13,99.75,26
ro,71.47,89.14,99.84,79.34,99.88,37205
ru,98.57,74.84,97.21,85.08,99.87,1140746
sa,53.45,56.02,100,54.71,100,166
sd,0.29,83.33,99.98,0.59,99.98,6
si,100,100,100,100,100,75
sk,73.35,59.66,99.84,65.8,99.94,27240
sl,21.43,53.16,99.92,30.55,99.94,3388
so,6.11,79.5,99.98,11.35,99.98,161
sq,54.82,89.59,99.98,68.02,99.98,2633
sr,71.51,33.69,99.62,45.8,99.94,50762
su,0.82,67.5,99.97,1.62,99.97,40
sv,85.62,90.66,99.87,88.07,99.92,56297
sw,52.48,87.7,99.96,65.66,99.97,4529
ta,100,79.14,100,88.36,100,561
te,100,84.39,100,91.54,100,314
th,99.94,99.97,100,99.96,100,6827
tl,93.64,95.62,99.92,94.62,99.95,76772
tn,0.29,65.85,99.91,0.58,99.91,41
tr,99.57,75.48,98.28,85.87,99.98,739792
ug,99.12,83,99.99,90.35,100,7971
uk,96.21,52.91,99.14,68.27,99.96,187391
ur,88.7,97.28,100,92.79,100,2687
uz,18.44,53.65,99.97,27.45,99.97,1163
vi,93.85,99.51,99.98,96.59,99.98,27253
wo,0.9,60.75,99.93,1.78,99.93,107
xh,15.71,67.05,99.99,25.46,99.99,258
yi,90.07,96.9,99.97,93.36,99.98,24553
yo,1.65,84.35,99.95,3.23,99.95,115
zh,99.91,99.86,100,99.88,100,98286
Micro,89.53,87.11,99.78,88.3,99.9,10711896
Macro,62.21,80.14,99.77,62.3,99.9,10711896
