language,precision,recall,accuracy,f1-score,specificity,samples
af,0,0,99.95,0,100,1
ar,0,0,99.78,0,100,4
br,50,100,99.95,66.67,99.95,1
ca,50,33.33,99.67,40,99.89,6
cs,100,50,99.73,66.67,100,10
cy,75,75,99.89,75,99.95,4
da,100,36.36,99.62,53.33,100,11
de,93.75,38.96,97.34,55.05,99.89,77
el,0,0,99.95,0,100,1
en,99.28,40.55,45.15,57.59,96.69,1705
eo,100,100,100,100,100,1
es,97.22,38.89,96.96,55.56,99.94,90
et,0,0,99.95,0,100,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,20,99.78,33.33,100,5
fr,99.11,64.42,79.62,78.09,99.25,1043
gl,0,0,99.62,0,99.67,1
hi,50,75,99.78,60,99.84,4
hr,100,100,100,100,100,1
hu,0,0,99.67,0,100,6
id,92.96,83.54,99.02,88,99.72,79
is,100,100,100,100,100,1
it,100,17.5,98.21,29.79,100,40
ja,84.21,84.21,99.67,84.21,99.84,19
ko,87.5,100,99.89,93.33,99.89,14
lt,0,0,99.95,0,100,1
lv,100,40,99.84,57.14,100,5
mk,0,0,99.95,0,100,1
nl,100,50,99.08,66.67,100,34
no,100,50,99.84,66.67,100,6
pl,0,0,99.78,0,100,4
pt,96.55,37.33,97.4,53.85,99.94,75
ro,100,50,99.89,66.67,100,4
ru,0,0,99.84,0,100,3
sk,0,0,99.84,0,100,3
sl,0,0,99.89,0,100,2
sr,0,0,99.95,0,100,1
sv,66.67,54.55,99.57,60,99.84,11
sw,50,100,99.95,66.67,99.95,1
th,100,100,100,100,100,11
tl,100,66.67,99.89,80,100,6
tr,100,27.78,99.3,43.48,100,18
uk,0,0,99.95,0,100,1
ur,0,0,99.95,0,100,1
vi,100,31.25,99.4,47.62,100,16
zh,98.47,95.54,98.92,96.98,99.67,336
Micro,97.31,53.49,99.08,69.03,99.97,3667
Macro,61.5,43.85,97.99,47.71,99.87,3667
