language,precision,recall,accuracy,f1-score,specificity,samples
af,0,0,99.95,0,100,1
ar,100,25,99.84,40,100,4
br,50,100,99.95,66.67,99.95,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,100,100,100,100,10
cy,100,100,100,100,100,4
da,100,81.82,99.89,90,100,11
de,98.31,75.32,98.92,85.29,99.94,77
el,50,100,99.95,66.67,99.95,1
en,99.43,41.09,45.69,58.15,97.35,1705
eo,100,100,100,100,100,1
es,96,53.33,97.62,68.57,99.89,90
et,50,100,99.95,66.67,99.95,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,60,99.89,75,100,5
fr,99.46,71.25,83.58,83.03,99.5,1043
gl,33.33,100,99.89,50,99.89,1
hi,75,75,99.89,75,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,83.33,83.33,99.89,83.33,99.95,6
id,84.62,97.47,99.13,90.59,99.21,79
is,0,0,99.95,0,100,1
it,88.24,75,99.24,81.08,99.78,40
ja,72.73,42.11,99.24,53.33,99.84,19
ko,80,28.57,99.4,42.11,99.95,14
lt,100,100,100,100,100,1
lv,83.33,100,99.95,90.91,99.95,5
mk,100,100,100,100,100,1
nl,96,70.59,99.4,81.36,99.94,34
no,100,100,100,100,100,6
pl,60,75,99.84,66.67,99.89,4
pt,95.77,90.67,99.46,93.15,99.83,75
ro,100,100,100,100,100,4
ru,100,33.33,99.89,50,100,3
sk,100,66.67,99.95,80,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,83.33,90.91,99.84,86.96,99.89,11
sw,100,100,100,100,100,1
th,100,72.73,99.84,84.21,100,11
tl,83.33,83.33,99.89,83.33,99.95,6
tr,78.26,100,99.73,87.8,99.73,18
uk,100,100,100,100,100,1
ur,0,0,99.95,0,100,1
vi,100,37.5,99.46,54.55,100,16
zh,97.35,32.74,87.59,49,99.8,336
Micro,96.55,54.37,99.09,69.56,99.96,3667
Macro,79.88,73.32,98.01,72.7,99.87,3667
