language,precision,recall,accuracy,f1-score,specificity,samples
af,99.88,99.14,99.99,99.51,100,813
am,100,98.98,100,99.49,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,100,100,100,100,100,636
az,100,99.13,99.99,99.56,100,805
be,99.77,95.26,99.94,97.47,100,929
bg,100,97.82,99.97,98.9,100,872
bn,99.67,100,100,99.84,100,612
br,99.76,99.64,99.99,99.7,100,825
ca,99.88,98.27,99.98,99.07,100,869
cs,99.44,99.22,99.98,99.33,99.99,893
cy,99.74,99.87,100,99.8,100,756
da,99.53,98.15,99.97,98.83,99.99,863
de,96.67,99.04,99.95,97.84,99.96,939
el,100,99.89,100,99.94,100,882
en,96.24,99.32,99.84,97.76,99.86,2631
eo,92.72,99.77,99.91,96.11,99.91,855
es,93.86,95.93,99.87,94.88,99.92,908
et,100,98.76,99.99,99.38,100,805
eu,99.89,99.89,100,99.89,100,947
fa,100,100,100,100,100,11
fi,100,99.52,99.99,99.76,100,835
fr,98.44,98.9,99.95,98.67,99.97,1278
fy,99.76,99.27,99.99,99.51,100,826
ga,99.55,99.89,99.99,99.72,99.99,877
gd,99.75,99.49,99.99,99.62,100,791
gl,97.25,98.12,99.94,97.68,99.97,902
gn,99.89,98.69,99.98,99.29,100,915
gu,100,100,100,100,100,773
ha,99.76,99.76,99.99,99.76,100,837
he,99.65,99.65,99.99,99.65,100,864
hi,97.55,100,99.97,98.76,99.97,757
hr,94.46,99.17,99.92,96.76,99.93,842
ht,99.9,100,100,99.95,100,976
hu,99.89,99.13,99.99,99.51,100,918
hy,100,98.67,99.98,99.33,100,903
id,96.97,99.88,99.96,98.4,99.96,864
ig,99.63,100,100,99.81,100,806
is,99.87,100,100,99.93,100,745
it,97.49,95.31,99.91,96.39,99.97,896
ja,100,97.94,100,98.96,100,97
jv,99.75,97.13,99.97,98.42,100,836
ka,100,99.33,99.99,99.66,100,891
kk,100,99.23,99.99,99.61,100,781
km,60.18,100,99.88,75.14,99.88,133
kn,99.87,100,100,99.93,100,763
ko,97.42,100,99.97,98.69,99.97,867
ku,99.88,99.27,99.99,99.58,100,827
ky,99.65,98.85,99.98,99.25,100,869
lg,100,99.38,99.99,99.69,100,649
li,98.43,99.05,99.98,98.74,99.99,632
ln,99.59,97.31,99.97,98.43,100,743
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,98.7,99.98,99.29,100,923
lv,100,99.89,100,99.94,100,873
mg,99.84,99.84,100,99.84,100,612
mk,99.89,99.54,99.99,99.71,100,878
ml,100,99.65,100,99.83,100,573
mn,100,99.73,100,99.87,100,749
mr,99.83,100,100,99.91,100,586
my,100,96.05,100,97.99,100,76
ne,100,97.57,99.98,98.77,100,575
nl,97.6,98.19,99.96,97.89,99.98,662
om,100,99.88,100,99.94,100,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.34,99.44,99.97,98.89,99.98,892
ps,100,97.94,100,98.96,100,97
pt,97.41,98.74,99.95,98.07,99.97,876
qu,98.39,95.86,99.95,97.11,99.99,700
rm,99.86,99.19,99.99,99.53,100,745
ro,99.22,99.67,99.99,99.45,99.99,899
ru,95.09,97.43,99.91,96.24,99.94,894
sa,99.84,98.91,99.99,99.37,100,640
sd,100,97.06,100,98.51,100,34
si,99.51,100,100,99.75,100,605
sk,99.44,98.88,99.98,99.16,99.99,896
sl,99.66,98.3,99.98,98.97,100,882
so,100,93.88,99.93,96.84,100,800
sq,99.64,99.52,99.99,99.58,100,825
sr,99.88,94.1,99.93,96.9,100,864
su,99.89,99,99.99,99.44,100,903
sv,99.14,99.63,99.99,99.38,99.99,808
sw,99.87,99.74,100,99.8,100,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
th,89.54,100,99.96,94.48,99.96,274
tl,99.62,99.75,99.99,99.68,100,785
tn,99.65,98.83,99.98,99.24,100,854
tr,96.16,99.64,99.95,97.87,99.96,830
ug,100,92.68,99.99,96.2,100,82
uk,99.66,97.05,99.96,98.34,100,914
ur,99.45,100,100,99.72,100,180
uz,100,99.21,99.99,99.61,100,764
vi,99.75,99.87,100,99.81,100,792
wo,99.55,95.98,99.95,97.73,99.99,921
xh,100,99.75,100,99.87,100,799
yi,99.62,99.37,99.99,99.5,100,798
yo,99.7,96.54,99.97,98.1,100,694
zh,98.78,100,100,99.39,100,81
Micro,98.86,98.86,99.98,98.86,99.99,74564
Macro,98.73,98.79,99.98,98.7,99.99,74564
