language,precision,recall,accuracy,f1-score,specificity,samples
af,99.61,99.89,99.99,99.75,99.99,10000
am,99.78,86.03,99.99,92.4,100,537
ar,78.11,99.51,99.58,87.52,99.58,10000
as,16.95,83.98,99.89,28.2,99.89,181
az,99.35,18.22,98.79,30.79,100,10000
be,97.48,96.19,99.91,96.83,99.96,10000
bg,90.72,99.07,99.84,94.71,99.85,10000
bn,98.58,68.14,99.51,80.58,99.99,10000
br,98.25,100,99.99,99.12,99.99,2305
ca,99.75,99.64,99.99,99.69,100,10000
cs,99.64,98.91,99.98,99.27,99.99,10000
cy,99.33,99.92,99.99,99.63,99.99,10000
da,99.08,99.58,99.98,99.33,99.99,10000
de,98.91,99.75,99.98,99.33,99.98,10000
el,100,99.49,99.99,99.74,100,10000
en,69.53,99.64,99.35,81.91,99.34,10000
eo,99.29,99.79,99.99,99.54,99.99,10000
es,99.34,99.31,99.98,99.32,99.99,10000
et,99.93,99.88,100,99.9,100,10000
eu,99.91,99.11,99.99,99.51,100,10000
fa,62.27,98.46,99.09,76.29,99.1,10000
fi,99.95,99.87,100,99.91,100,10000
fr,99.41,99.76,99.99,99.59,99.99,10000
ga,99.89,99.93,100,99.91,100,2696
gd,99.32,99.96,100,99.64,100,2620
gl,99.48,98.84,99.98,99.16,99.99,10000
gu,99.99,100,100,100,100,10000
he,100,99.86,100,99.93,100,10000
hi,95.12,99.18,99.91,97.11,99.92,10000
hr,51.24,99.56,98.59,67.66,98.58,10000
hu,99.96,99.76,100,99.86,100,10000
hy,100,99.44,100,99.72,100,1775
id,99.87,99.62,99.99,99.74,100,10000
ig,95.98,99.72,100,97.81,100,359
is,99.6,99.9,99.99,99.75,99.99,10000
it,99.61,99.76,99.99,99.69,99.99,10000
ja,100,99.88,100,99.94,100,10000
ka,100,54.84,99.33,70.83,100,10000
kk,98.33,89.72,99.83,93.83,99.98,10000
km,85.16,98.96,99.73,91.54,99.74,10000
kn,99.96,87.04,99.88,93.06,100,6073
ko,100,99.96,100,99.98,100,10000
ku,99.35,19.79,98.81,33.01,100,10000
lt,99.95,99.54,99.99,99.74,100,10000
lv,99.92,99.84,100,99.88,100,10000
mk,99.59,99.26,99.98,99.42,99.99,10000
ml,99.16,90.5,99.85,94.63,99.99,10000
mn,99.21,48.84,99.27,65.46,99.99,9565
mr,96.07,65.54,99.94,77.92,100,1007
my,100,63.86,99.47,77.94,100,10000
ne,99.93,99.24,99.99,99.58,100,10000
nl,99.82,99.68,99.99,99.75,100,10000
no,99.67,99.2,99.98,99.43,100,10000
or,100,94.59,100,97.22,100,185
pl,99.75,99.81,99.99,99.78,100,10000
ps,16.84,99.63,99.6,28.81,99.6,547
pt,99.32,99.45,99.98,99.39,99.99,10000
ro,99.82,99.72,99.99,99.77,100,10000
ru,95.79,97.53,99.9,96.65,99.94,10000
sd,93.46,99.93,99.92,96.59,99.92,7666
si,100,99.99,100,99.99,100,10000
sk,99.65,99.03,99.98,99.34,99.99,10000
sl,99.31,98.63,99.97,98.97,99.99,10000
so,64.77,29.38,99.98,40.43,100,194
sq,99.81,99.18,99.99,99.49,100,10000
sr,93.19,4.93,98.59,9.36,99.99,10000
sv,99.55,99.84,99.99,99.7,99.99,10000
sw,99.7,98.36,99.97,99.02,100,10000
ta,100,82.84,99.75,90.61,100,10000
te,100,90.7,99.86,95.12,100,10000
th,100,99.4,99.99,99.7,100,10000
tl,99.5,92.39,99.88,95.82,99.99,10000
tr,99.54,99.45,99.99,99.49,99.99,10000
uk,99.76,96.59,99.95,98.15,100,10000
ur,95.33,99.9,99.93,97.56,99.93,10000
uz,82.5,100,100,90.41,100,66
vi,99.85,99.8,99.99,99.82,100,10000
xh,99.99,100,100,100,100,10000
zh,98.5,98.84,99.96,98.67,99.98,10000
Micro,94.42,92.28,99.87,93.34,99.95,675776
Macro,94.4,91.59,99.84,90.49,99.94,675776
