language,precision,recall,accuracy,f1-score,specificity,samples
af,98.91,100,99.99,99.45,99.99,813
am,100,98.98,100,99.49,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,99.84,99.84,100,99.84,100,636
az,100,98.88,99.99,99.44,100,805
be,99.85,73.95,99.67,84.97,100,929
bg,99.88,93.69,99.92,96.69,100,872
bn,97.44,99.67,99.98,98.55,99.98,612
br,98.09,99.76,99.98,98.92,99.98,825
ca,98.5,98.16,99.96,98.33,99.98,869
cs,98.99,98.32,99.97,98.65,99.99,893
cy,99.47,100,99.99,99.74,99.99,756
da,99.18,97.91,99.97,98.54,99.99,863
de,95.98,99.25,99.94,97.59,99.95,939
el,100,99.89,100,99.94,100,882
en,95.73,97.91,99.77,96.81,99.84,2631
eo,92.92,99.77,99.91,96.22,99.91,855
es,93.78,96.26,99.88,95,99.92,908
et,99.75,97.76,99.97,98.75,100,805
eu,99.89,99.47,99.99,99.68,100,947
fa,100,100,100,100,100,11
fi,100,99.04,99.99,99.52,100,835
fr,97.52,98.28,99.93,97.9,99.96,1278
fy,99.88,99.15,99.99,99.51,100,826
ga,99.66,99.54,99.99,99.6,100,877
gd,99.62,99.49,99.99,99.56,100,791
gl,94.87,98.34,99.92,96.57,99.93,902
gn,99.56,98.69,99.98,99.12,99.99,915
gu,100,99.74,100,99.87,100,773
ha,99.05,99.88,99.99,99.46,99.99,837
he,99.42,99.65,99.99,99.54,99.99,864
hi,96.19,100,99.96,98.06,99.96,757
hr,94.6,97.74,99.91,96.14,99.94,842
ht,99.9,100,100,99.95,100,976
hu,99.89,99.02,99.99,99.45,100,918
hy,100,98.12,99.98,99.05,100,903
id,96.96,99.77,99.96,98.35,99.96,864
ig,100,100,100,100,100,806
is,99.87,99.87,100,99.87,100,745
it,97.17,95.87,99.92,96.52,99.97,896
ja,97.96,98.97,100,98.46,100,97
jv,99.27,97.13,99.96,98.19,99.99,836
ka,99.89,99.33,99.99,99.61,100,891
kk,99.86,94.49,99.94,97.11,100,781
km,16.75,100,99.11,28.69,99.11,133
kn,99.87,100,100,99.93,100,763
ko,99.77,100,100,99.88,100,867
ku,99.88,98.43,99.98,99.15,100,827
ky,100,95.86,99.95,97.88,100,869
lg,99.69,99.38,99.99,99.54,100,649
li,98.26,98.42,99.97,98.34,99.99,632
ln,98.76,96.37,99.95,97.55,99.99,743
lo,99.57,94.11,99.96,96.76,100,492
lt,99.78,97.18,99.96,98.46,100,923
lv,99.88,99.43,99.99,99.66,100,873
mg,99.35,100,99.99,99.67,99.99,612
mk,99.31,98.52,99.97,98.91,99.99,878
ml,100,99.13,99.99,99.56,100,573
mn,100,98.8,99.99,99.4,100,749
mr,99.66,99.32,99.99,99.49,100,586
my,100,93.42,99.99,96.6,100,76
ne,99.64,97.57,99.98,98.59,100,575
nl,97.47,98.79,99.97,98.12,99.98,662
om,99.88,99.76,100,99.82,100,836
or,100,99.7,100,99.85,100,660
pa,100,99.87,100,99.94,100,771
pl,98.19,97.53,99.95,97.86,99.98,892
ps,100,96.91,100,98.43,100,97
pt,97.61,98.06,99.95,97.84,99.97,876
qu,98.53,95.71,99.95,97.1,99.99,700
rm,99.06,99.06,99.98,99.06,99.99,745
ro,99.89,99.56,99.99,99.72,100,899
ru,97.07,85.35,99.79,90.83,99.97,894
sa,99.68,98.13,99.98,98.9,100,640
sd,100,97.06,100,98.51,100,34
si,99.18,100,99.99,99.59,99.99,605
sk,99.2,96.43,99.95,97.79,99.99,896
sl,98.14,95.69,99.93,96.9,99.98,882
so,100,94.13,99.94,96.97,100,800
sq,99.64,99.27,99.99,99.45,100,825
sr,99.87,89.93,99.88,94.64,100,864
su,100,99,99.99,99.5,100,903
sv,99.26,99.88,99.99,99.57,99.99,808
sw,98.58,99.61,99.98,99.09,99.99,764
ta,100,99.19,99.99,99.59,100,740
te,100,99.87,100,99.94,100,773
th,88.67,100,99.95,94,99.95,274
tl,99.62,99.87,99.99,99.75,100,785
tn,98.94,98.01,99.97,98.47,99.99,854
tr,97.87,99.52,99.97,98.69,99.98,830
ug,100,92.68,99.99,96.2,100,82
uk,99.75,89.06,99.86,94.1,100,914
ur,99.45,100,100,99.72,100,180
uz,100,98.95,99.99,99.47,100,764
vi,100,99.87,100,99.94,100,792
wo,99.44,95.77,99.94,97.57,99.99,921
xh,100,99.12,99.99,99.56,100,799
yi,99.62,99.12,99.99,99.37,100,798
yo,99.55,95.39,99.95,97.42,100,694
zh,92.05,100,99.99,95.86,99.99,81
Micro,97.88,97.84,99.96,97.86,99.98,74564
Macro,98.04,97.93,99.96,97.64,99.98,74564
