language,precision,recall,accuracy,f1-score,specificity,samples
af,0,0,99.95,0,100,1
ar,100,25,99.84,40,100,4
br,50,100,99.95,66.67,99.95,1
ca,75,50,99.78,60,99.95,6
cs,100,50,99.73,66.67,100,10
cy,100,75,99.95,85.71,100,4
da,100,27.27,99.57,42.86,100,11
de,95.12,50.65,97.83,66.1,99.89,77
el,50,100,99.95,66.67,99.95,1
en,99.08,44.45,48.62,61.37,95.36,1705
eo,100,100,100,100,100,1
es,93.18,45.56,97.18,61.19,99.83,90
et,0,0,99.95,0,100,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,20,99.78,33.33,100,5
fr,99.36,59.71,77.07,74.59,99.5,1043
gl,0,0,99.78,0,99.84,1
hi,60,75,99.84,66.67,99.89,4
hr,50,100,99.95,66.67,99.95,1
hu,0,0,99.67,0,100,6
id,88.89,81.01,98.75,84.77,99.55,79
is,100,100,100,100,100,1
it,86.67,32.5,98.43,47.27,99.89,40
ja,84.21,84.21,99.67,84.21,99.84,19
ko,87.5,100,99.89,93.33,99.89,14
lt,100,100,100,100,100,1
lv,100,20,99.78,33.33,100,5
mk,100,100,100,100,100,1
nl,100,52.94,99.13,69.23,100,34
no,100,50,99.84,66.67,100,6
pl,0,0,99.78,0,100,4
pt,97.22,46.67,97.78,63.06,99.94,75
ro,100,50,99.89,66.67,100,4
ru,0,0,99.84,0,100,3
sk,0,0,99.84,0,100,3
sl,100,50,99.95,66.67,100,2
sr,0,0,99.95,0,100,1
sv,85.71,54.55,99.67,66.67,99.95,11
sw,50,100,99.95,66.67,99.95,1
th,100,90.91,99.95,95.24,100,11
tl,100,100,100,100,100,6
tr,100,27.78,99.3,43.48,100,18
uk,0,0,99.95,0,100,1
ur,0,0,99.95,0,100,1
vi,100,31.25,99.4,47.62,100,16
zh,97.73,89.88,97.78,93.64,99.54,336
Micro,97.35,54.31,99.09,69.72,99.97,3667
Macro,71.27,52.86,98.02,56.32,99.84,3667
