language,precision,recall,accuracy,f1-score,specificity,samples
af,99.25,98.66,99.98,98.95,99.99,2009
am,100,99.9,100,99.95,100,2009
ar,100,99.76,99.99,99.88,100,12054
as,100,100,100,100,100,2009
az,99.9,99.95,100,99.93,100,2009
be,100,97.86,99.98,98.92,100,2009
bg,99.8,98.95,99.99,99.38,100,2009
bn,99.7,100,100,99.85,100,2009
ca,99.65,99.55,99.99,99.6,100,2009
cs,99.3,99.4,99.99,99.35,99.99,2009
cy,99.95,100,100,99.98,100,2009
da,99.69,96.52,99.96,98.08,100,2009
de,99.5,99.7,99.99,99.6,100,2009
el,99.95,100,100,99.98,100,2009
en,93.7,99.95,99.93,96.72,99.93,2009
eo,99.65,99.9,100,99.78,100,2009
es,97.26,97.11,99.94,97.19,99.97,2009
et,100,99.35,99.99,99.68,100,2009
eu,100,100,100,100,100,2009
fa,99.7,100,100,99.85,100,2009
fi,99.9,99.2,99.99,99.55,100,2009
fr,99.7,99.8,100,99.75,100,2009
ga,99.8,100,100,99.9,100,2009
gd,99.95,99.95,100,99.95,100,2009
gl,97.72,96.17,99.94,96.94,99.98,2009
gn,99.75,99.8,100,99.78,100,2009
gu,100,100,100,100,100,2009
ha,99.65,99.75,99.99,99.7,100,2009
he,100,99.85,100,99.93,100,2009
hi,92.62,100,99.92,96.17,99.92,2009
hr,99.45,99.5,99.99,99.48,99.99,2009
ht,99.95,99.9,100,99.93,100,2009
hu,100,99.7,100,99.85,100,2009
hy,100,100,100,100,100,2009
id,99.5,99.9,99.99,99.7,100,2009
ig,99.7,99.9,100,99.8,100,2009
is,100,99.9,100,99.95,100,2009
it,99.9,99.9,100,99.9,100,2009
ja,100,100,100,100,100,2009
jv,99.11,99.65,99.99,99.38,99.99,2009
ka,100,99.95,100,99.98,100,2009
kk,99.95,99.4,99.99,99.68,100,2009
km,93.7,100,99.93,96.75,99.93,2009
kn,100,99.95,100,99.98,100,2009
ko,97.9,100,99.98,98.94,99.98,2009
ku,99.9,99.85,100,99.88,100,2009
ky,100,99.4,99.99,99.7,100,2009
lg,99.8,98.86,99.99,99.32,100,2009
li,99.13,96.52,99.96,97.81,99.99,2009
ln,99.9,99.95,100,99.93,100,2009
lo,100,100,100,100,100,2009
lt,99.95,99.9,100,99.93,100,2009
lv,100,99.7,100,99.85,100,2009
mk,99.21,99.55,99.99,99.38,99.99,2009
ml,100,99.75,100,99.88,100,2009
mr,99.75,99.9,100,99.83,100,2009
my,100,80.54,99.81,89.22,100,2009
ne,99.4,99.45,99.99,99.43,99.99,2009
nl,97.55,99.1,99.97,98.32,99.98,2009
om,99.95,99.95,100,99.95,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.85,99.7,100,99.78,100,2009
pt,98.18,49.65,98.98,65.95,99.98,4018
qu,99.9,98.56,99.98,99.22,100,2009
ro,99.95,99.8,100,99.88,100,2009
ru,99.95,97.81,99.98,98.87,100,2009
sa,99.95,95.17,99.95,97.5,100,2009
sd,99.65,100,100,99.83,100,2009
si,100,100,100,100,100,2009
sk,99.8,98.95,99.99,99.38,100,2009
sl,99.9,98.81,99.99,99.35,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.95,98.56,99.99,99.25,100,2009
su,99.75,98.86,99.99,99.3,100,2009
sv,99.75,99.5,99.99,99.63,100,2009
sw,99.01,99.95,99.99,99.48,99.99,2009
ta,100,99.9,100,99.95,100,2009
te,100,99.8,100,99.9,100,2009
th,100,100,100,100,100,2009
tl,99.31,99.9,99.99,99.6,99.99,2009
tn,99.59,96.81,99.96,98.18,100,2009
tr,99.75,99.6,99.99,99.68,100,2009
ug,99.95,99.95,100,99.95,100,2009
uk,99.95,98.41,99.98,99.17,100,2009
ur,99.95,100,100,99.98,100,2009
uz,99.9,99.95,100,99.93,100,2009
vi,100,100,100,100,100,2009
wo,99.85,99.25,99.99,99.55,100,2009
xh,99.95,98.41,99.98,99.17,100,2009
yi,99.9,100,100,99.95,100,2009
yo,100,99.45,99.99,99.73,100,2009
zh,100,100,100,100,100,6027
Micro,98.47,98.28,99.97,98.38,99.99,202909
Macro,99.5,98.69,99.98,98.99,99.99,202909
