language,precision,recall,accuracy,f1-score,specificity,samples
af,99.67,99.89,99.99,99.78,100,10000
am,100,87.9,99.99,93.56,100,537
ar,88.88,99.79,99.81,94.02,99.81,10000
as,13.6,92.82,99.84,23.73,99.84,181
az,99.84,18.6,98.8,31.36,100,10000
be,99.95,99.04,99.99,99.49,100,10000
bg,99.88,99.85,100,99.86,100,10000
bn,99.26,81.96,99.72,89.78,99.99,10000
br,97.59,100,99.99,98.78,99.99,2305
ca,99.92,99.76,100,99.84,100,10000
cs,99.81,99.74,99.99,99.77,100,10000
cy,99.66,99.95,99.99,99.81,99.99,10000
da,99.19,99.81,99.99,99.5,99.99,10000
de,99.21,99.86,99.99,99.53,99.99,10000
el,100,99.55,99.99,99.77,100,10000
en,70.47,99.83,99.38,82.62,99.37,10000
eo,99.82,99.95,100,99.89,100,10000
es,99.58,99.4,99.98,99.49,99.99,10000
et,99.98,99.95,100,99.96,100,10000
eu,99.94,99.18,99.99,99.56,100,10000
fa,56.8,98.94,98.87,72.17,98.87,10000
fi,99.96,99.97,100,99.97,100,10000
fr,99.65,99.83,99.99,99.74,99.99,10000
ga,99.89,99.96,100,99.93,100,2696
gd,99.81,100,100,99.9,100,2620
gl,99.72,99.18,99.98,99.45,100,10000
gu,100,100,100,100,100,10000
he,100,99.96,100,99.98,100,10000
hi,96.02,99.64,99.93,97.8,99.94,10000
hr,51.3,99.84,98.6,67.78,98.58,10000
hu,99.97,99.89,100,99.93,100,10000
hy,100,99.55,100,99.77,100,1775
id,99.89,99.64,99.99,99.76,100,10000
ig,96.77,100,100,98.36,100,359
is,99.92,99.95,100,99.94,100,10000
it,99.82,99.87,100,99.85,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,78.78,99.69,88.13,100,10000
kk,100,95.53,99.93,97.71,100,10000
km,97.53,98.95,99.95,98.23,99.96,10000
kn,100,93.2,99.94,96.48,100,6073
ko,65.63,99.95,99.22,79.23,99.21,10000
ku,99.9,19.81,98.81,33.06,100,10000
lt,99.97,99.8,100,99.88,100,10000
lv,99.98,99.92,100,99.95,100,10000
mk,99.99,99.76,100,99.87,100,10000
ml,99.13,95.26,99.92,97.15,99.99,10000
mn,99.98,46.3,99.24,63.29,100,9565
mr,98.26,72.69,99.96,83.56,100,1007
my,100,80.14,99.71,88.98,100,10000
ne,99.95,99.74,100,99.84,100,10000
nl,99.9,99.72,99.99,99.81,100,10000
no,99.78,99.22,99.99,99.5,100,10000
or,100,98.38,100,99.18,100,185
pl,99.96,99.96,100,99.96,100,10000
ps,14.09,100,99.51,24.7,99.51,547
pt,99.59,99.63,99.99,99.61,99.99,10000
ro,99.96,99.88,100,99.92,100,10000
ru,99.85,98.97,99.98,99.41,100,10000
sd,96.72,99.95,99.96,98.31,99.96,7666
si,100,99.99,100,99.99,100,10000
sk,99.88,99.67,99.99,99.77,100,10000
sl,99.7,99.61,99.99,99.65,100,10000
so,62.5,12.89,99.97,21.37,100,194
sq,99.81,99.42,99.99,99.61,100,10000
sr,99.8,5,98.59,9.52,100,10000
sv,99.79,99.87,99.99,99.83,100,10000
sw,99.91,98.75,99.98,99.33,100,10000
ta,100,86.35,99.8,92.68,100,10000
te,100,93.75,99.91,96.77,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.84,92.3,99.88,95.92,100,10000
tr,99.68,99.9,99.99,99.79,100,10000
uk,99.99,99.39,99.99,99.69,100,10000
ur,88.95,99.92,99.82,94.12,99.81,10000
uz,82.5,100,100,90.41,100,66
vi,99.85,99.87,100,99.86,100,10000
xh,99.98,100,100,99.99,100,10000
zh,98.45,98.77,99.96,98.61,99.98,10000
Micro,94.3,93.62,99.88,93.96,99.94,675776
Macro,94.51,92.83,99.85,90.97,99.93,675776
