language,precision,recall,accuracy,f1-score,specificity,samples
af,100,100,100,100,100,1
ar,100,75,99.95,85.71,100,4
br,50,100,99.95,66.67,99.95,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,100,100,100,100,10
cy,100,100,100,100,100,4
da,100,90.91,99.95,95.24,100,11
de,95.89,90.91,99.46,93.33,99.83,77
el,50,100,99.95,66.67,99.95,1
en,99.43,71.9,73.82,83.45,95.36,1705
eo,100,100,100,100,100,1
es,94.81,81.11,98.86,87.43,99.77,90
et,50,100,99.95,66.67,99.95,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,100,100,100,100,5
fr,98.86,91.83,94.8,95.21,98.63,1043
gl,25,100,99.84,40,99.84,1
hi,80,100,99.95,88.89,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,83.33,83.33,99.89,83.33,99.95,6
id,78.22,100,98.81,87.78,98.75,79
is,100,100,100,100,100,1
it,79.59,97.5,99.4,87.64,99.45,40
ja,80,63.16,99.46,70.59,99.84,19
ko,84.62,78.57,99.73,81.48,99.89,14
lt,33.33,100,99.89,50,99.89,1
lv,83.33,100,99.95,90.91,99.95,5
mk,100,100,100,100,100,1
nl,93.94,91.18,99.73,92.54,99.89,34
no,85.71,100,99.95,92.31,99.95,6
pl,60,75,99.84,66.67,99.89,4
pt,94.94,100,99.78,97.4,99.77,75
ro,100,100,100,100,100,4
ru,100,66.67,99.95,80,100,3
sk,100,66.67,99.95,80,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,78.57,100,99.84,88,99.84,11
sw,100,100,100,100,100,1
th,100,100,100,100,100,11
tl,60,100,99.78,75,99.78,6
tr,78.26,100,99.73,87.8,99.73,18
uk,100,100,100,100,100,1
ur,0,0,99.95,0,100,1
vi,100,75,99.78,85.71,100,16
zh,98.06,60.12,92.52,74.54,99.73,336
Micro,96.16,79.58,99.55,87.09,99.94,3667
Macro,81.54,88.13,99.02,82.43,99.77,3667
