language,precision,recall,accuracy,f1-score,specificity,samples
af,0,0,99.95,0,100,1
ar,100,25,99.84,40,100,4
br,0,0,99.95,0,100,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,70,99.84,82.35,100,10
cy,100,100,100,100,100,4
da,100,72.73,99.84,84.21,100,11
de,95.65,57.14,98.1,71.54,99.89,77
el,0,0,99.95,0,100,1
en,99.39,48.05,52.03,64.78,96.69,1705
eo,100,100,100,100,100,1
es,92.86,43.33,97.07,59.09,99.83,90
et,0,0,99.95,0,100,1
eu,100,100,100,100,100,1
fa,0,0,99.95,0,100,1
fi,100,20,99.78,33.33,100,5
fr,99.22,73.27,84.61,84.29,99.25,1043
gl,0,0,99.84,0,99.89,1
hi,75,75,99.89,75,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,0,0,99.67,0,100,6
id,89.74,88.61,99.08,89.17,99.55,79
is,0,0,99.95,0,100,1
it,92.31,60,99.02,72.73,99.89,40
ja,76.92,52.63,99.35,62.5,99.84,19
ko,92.31,85.71,99.84,88.89,99.95,14
lt,100,100,100,100,100,1
lv,100,60,99.89,75,100,5
mk,0,0,99.95,0,100,1
nl,94.44,50,99.02,65.38,99.94,34
no,100,66.67,99.89,80,100,6
pl,100,25,99.84,40,100,4
pt,95.12,52,97.94,67.24,99.89,75
ro,100,100,100,100,100,4
ru,100,33.33,99.89,50,100,3
sk,0,0,99.84,0,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,75,54.55,99.62,63.16,99.89,11
sw,50,100,99.95,66.67,99.95,1
th,100,90.91,99.95,95.24,100,11
tl,75,100,99.89,85.71,99.89,6
tr,100,33.33,99.35,50,100,18
uk,0,0,99.95,0,100,1
ur,0,0,99.95,0,100,1
vi,100,62.5,99.67,76.92,100,16
zh,96.23,45.54,89.76,61.82,99.6,336
Micro,97.41,56.69,99.14,71.67,99.97,3667
Macro,66.29,49.55,98.12,53.58,99.87,3667
