language,precision,recall,accuracy,f1-score,specificity,samples
af,99.37,98.51,99.98,98.94,99.99,2009
am,100,100,100,100,100,2009
ar,100,99.89,99.99,99.95,100,12054
as,100,99.9,100,99.95,100,2009
az,99.98,99.93,100,99.95,100,2009
be,99.95,99.43,99.99,99.69,100,2009
bg,99.82,99.35,99.99,99.59,100,2009
bn,99.48,100,99.99,99.74,99.99,2009
ca,99.85,99.63,99.99,99.74,100,2009
cs,99.21,99.7,99.99,99.45,99.99,2009
cy,99.98,100,100,99.99,100,2009
da,99.85,97.16,99.97,98.49,100,2009
de,99.48,99.85,99.99,99.66,99.99,2009
el,99.88,100,100,99.94,100,2009
en,94.96,99.88,99.95,97.36,99.95,2009
eo,99.7,99.88,100,99.79,100,2009
es,98.18,96.76,99.95,97.47,99.98,2009
et,99.85,99.8,100,99.83,100,2009
eu,99.9,100,100,99.95,100,2009
fa,99.8,100,100,99.9,100,2009
fi,99.95,99.7,100,99.83,100,2009
fr,99.7,99.8,100,99.75,100,2009
ga,99.83,100,100,99.91,100,2009
gd,99.9,99.95,100,99.93,100,2009
gl,96.78,97.21,99.94,97,99.97,2009
gn,99.6,99.8,99.99,99.7,100,2009
gu,99.98,100,100,99.99,100,2009
ha,99.63,99.8,99.99,99.71,100,2009
he,100,99.9,100,99.95,100,2009
hi,93.36,100,99.93,96.56,99.93,2009
hr,99.23,99.7,99.99,99.47,99.99,2009
ht,99.8,99.88,100,99.84,100,2009
hu,99.9,99.8,100,99.85,100,2009
hy,100,100,100,100,100,2009
id,99.36,99.85,99.99,99.6,99.99,2009
ig,99.78,99.9,100,99.84,100,2009
is,99.9,99.9,100,99.9,100,2009
it,99.58,99.85,99.99,99.71,100,2009
ja,100,100,100,100,100,2009
jv,98.6,99.78,99.98,99.18,99.99,2009
ka,100,100,100,100,100,2009
kk,99.98,99.65,100,99.81,100,2009
km,97.01,100,99.97,98.48,99.97,2009
kn,99.98,99.95,100,99.96,100,2009
ko,98.87,100,99.99,99.43,99.99,2009
ku,99.9,99.88,100,99.89,100,2009
ky,100,99.88,100,99.94,100,2009
lg,99.72,99.2,99.99,99.46,100,2009
li,98.44,97.46,99.96,97.95,99.98,2009
ln,99.98,99.95,100,99.96,100,2009
lo,100,100,100,100,100,2009
lt,99.9,99.95,100,99.93,100,2009
lv,99.93,100,100,99.96,100,2009
mk,99.63,99.6,99.99,99.61,100,2009
ml,100,99.85,100,99.93,100,2009
mr,99.75,99.93,100,99.84,100,2009
my,100,83.72,99.84,91.14,100,2009
ne,99.6,99.65,99.99,99.63,100,2009
nl,97.66,98.61,99.96,98.13,99.98,2009
om,99.95,99.95,100,99.95,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.83,99.8,100,99.81,100,2009
pt,97.66,49.86,98.98,66.02,99.98,4018
qu,99.9,99.03,99.99,99.46,100,2009
ro,99.95,99.9,100,99.93,100,2009
ru,99.9,99.05,99.99,99.48,100,2009
sa,100,96.69,99.97,98.32,100,2009
sd,99.85,100,100,99.93,100,2009
si,100,100,100,100,100,2009
sk,99.67,98.9,99.99,99.29,100,2009
sl,99.72,99.15,99.99,99.44,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.92,99.45,99.99,99.69,100,2009
su,99.82,98.86,99.99,99.34,100,2009
sv,99.65,99.48,99.99,99.56,100,2009
sw,99.14,99.93,99.99,99.53,99.99,2009
ta,100,100,100,100,100,2009
te,100,99.9,100,99.95,100,2009
th,100,100,100,100,100,2009
tl,99.48,99.9,99.99,99.69,99.99,2009
tn,99.64,97.46,99.97,98.54,100,2009
tr,99.65,99.85,100,99.75,100,2009
ug,100,99.95,100,99.98,100,2009
uk,99.93,99.5,99.99,99.71,100,2009
ur,100,100,100,100,100,2009
uz,99.8,100,100,99.9,100,2009
vi,99.93,100,100,99.96,100,2009
wo,99.8,99.28,99.99,99.54,100,2009
xh,99.82,99.15,99.99,99.49,100,2009
yi,99.95,100,100,99.98,100,2009
yo,99.95,99.45,99.99,99.7,100,2009
zh,100,100,100,100,100,6027
Micro,98.51,98.47,99.97,98.49,99.99,202909
Macro,99.54,98.88,99.98,99.12,100,202909
