language,precision,recall,accuracy,f1-score,specificity,samples
af,16.71,93.44,99.81,28.35,99.81,4407
am,84.59,79.94,100,82.2,100,309
ar,99.85,83.13,99.89,90.73,100,68392
as,98.55,88.31,99.98,93.15,100,14681
az,19.43,79.75,99.71,31.24,99.72,9002
be,86.85,65.19,99.94,74.48,99.99,14276
bg,63.81,77.22,99.84,69.88,99.9,25367
bn,60.55,95.69,99.9,74.16,99.91,15806
br,36,89.14,99.87,51.29,99.88,7999
ca,39.86,88.99,99.86,55.06,99.87,9969
cs,93.9,88.06,99.86,90.89,99.95,84123
cy,42.84,93.58,99.98,58.77,99.98,1777
da,94.91,84.71,99.88,89.52,99.97,65861
de,99.38,98.59,99.86,98.98,99.95,727114
el,99.93,97.43,99.99,98.66,100,40218
en,96.25,99.22,99.14,97.71,99.12,1986627
eo,98.92,95,99.55,96.92,99.92,793577
es,96.57,87.83,99.41,92,99.87,415801
et,77.28,86.67,99.98,81.71,99.99,6115
eu,64.98,94.89,99.97,77.14,99.97,6326
fa,97.93,98.15,99.99,98.04,99.99,31457
fi,97.97,88.66,99.81,93.08,99.97,151584
fr,99.2,96.23,99.71,97.69,99.95,673450
fy,16.75,84.67,99.97,27.97,99.97,711
ga,64.05,94.08,99.98,76.22,99.99,2972
gd,49.18,97.52,99.99,65.39,99.99,1050
gl,18.47,78.73,99.76,29.92,99.77,7085
gn,38.23,84.53,99.95,52.65,99.96,3367
gu,93.6,95.83,100,94.71,100,168
ha,85.64,97.06,99.96,90.99,99.97,21821
he,99.95,95.8,99.92,97.83,100,209347
hi,61.86,97.6,99.91,75.73,99.91,15624
hr,17,86.01,99.76,28.39,99.76,6006
ht,1.23,93.2,99.93,2.43,99.93,103
hu,99.7,89.96,99.59,94.58,99.99,421697
hy,99.96,94.2,99.98,97,100,29696
id,93.21,95.72,99.97,94.45,99.98,25952
ig,1.26,86.96,99.97,2.48,99.97,46
is,86.14,97.18,99.98,91.33,99.98,13390
it,99.46,91.06,99.18,95.07,99.95,935157
ja,99.99,99.96,100,99.98,100,246319
jv,13.29,58.39,99.94,21.65,99.95,1430
ka,99.98,88.9,99.99,94.12,100,7074
kk,94.93,71.72,99.99,81.71,100,4385
km,1.52,99.47,98.52,2.99,98.52,2461
kn,91.53,90.65,100,91.09,100,310
ko,7.65,98.18,98.39,14.19,98.39,14509
ku,62.03,88.46,99.94,72.92,99.95,10281
ky,19.61,67.54,99.98,30.39,99.99,536
lg,4.62,72.4,99.96,8.68,99.97,250
li,0.65,46.81,99.97,1.28,99.97,47
ln,59.2,98.2,99.97,73.87,99.97,4781
lo,99.57,100,100,99.78,100,229
lt,98.49,91.75,99.88,95,99.98,131515
lv,80.33,90.85,99.96,85.27,99.97,12480
mg,2.43,94.52,99.97,4.73,99.97,73
mk,91.8,65.15,99.7,76.21,99.96,78244
ml,100,95.44,100,97.67,100,878
mn,91.32,91.98,100,91.65,100,2792
mr,99.93,94.55,99.96,97.16,100,77592
my,100,56.51,100,72.21,100,584
ne,97.08,87.87,99.99,92.24,100,4500
nl,99.1,92.46,99.85,95.67,99.98,193399
om,0.92,80,99.99,1.82,99.99,10
or,84.18,62.03,100,71.43,100,403
pa,100,96.35,100,98.14,100,219
pl,98.94,90.69,99.87,94.63,99.99,132808
ps,7.83,95.74,100,14.47,100,47
pt,96.34,94.15,99.62,95.23,99.85,437510
qu,8.58,59.08,99.97,14.98,99.97,435
rm,0.18,80.77,99.89,0.37,99.89,26
ro,83.74,94.11,99.92,88.62,99.94,37205
ru,99.48,78.42,97.66,87.7,99.95,1140746
sa,54.41,66.87,100,60,100,166
sd,0.32,83.33,99.99,0.63,99.99,6
si,100,100,100,100,100,75
sk,82.75,73.84,99.89,78.04,99.96,27240
sl,38.61,64.55,99.96,48.32,99.97,3388
so,17.8,87.58,99.99,29.59,99.99,161
sq,63.81,93.77,99.99,75.95,99.99,2633
sr,84.8,37.32,99.67,51.83,99.97,50762
su,1.27,75,99.98,2.5,99.98,40
sv,93.99,95.02,99.94,94.5,99.97,56297
sw,66.37,94.15,99.98,77.85,99.98,4529
ta,100,92.16,100,95.92,100,561
te,100,95.86,100,97.89,100,314
th,100,99.97,100,99.99,100,6827
tl,95.06,96.81,99.94,95.93,99.96,76772
tn,1.33,78.05,99.98,2.61,99.98,41
tr,99.81,86.58,99.06,92.73,99.99,739792
ug,92.82,91.78,99.99,92.3,99.99,7971
uk,98.3,63.81,99.35,77.39,99.98,187391
ur,87.26,98.36,100,92.48,100,2687
uz,22.15,68.27,99.97,33.45,99.97,1163
vi,93.17,99.83,99.98,96.38,99.98,27253
wo,1.8,76.64,99.96,3.52,99.96,107
xh,32.8,79.84,100,46.5,100,258
yi,88.52,98.44,99.97,93.22,99.97,24553
yo,6.68,92.17,99.99,12.46,99.99,115
zh,99.9,99.97,100,99.93,100,98286
Micro,92.54,91.43,99.85,91.98,99.93,10711896
Macro,66.11,86.73,99.84,67.59,99.93,10711896
