language,precision,recall,accuracy,f1-score,specificity,samples
af,15.35,91.99,99.79,26.3,99.79,4407
am,93.8,83.17,100,88.16,100,309
ar,99.89,86.98,99.92,92.99,100,68392
as,98.82,90.42,99.99,94.43,100,14681
az,22.86,83.68,99.75,35.91,99.76,9002
be,87.97,72.33,99.95,79.39,99.99,14276
bg,71.44,80.91,99.88,75.88,99.92,25367
bn,68.69,96.82,99.93,80.37,99.93,15806
br,34.22,90.54,99.86,49.67,99.87,7999
ca,49.55,91.31,99.91,64.24,99.91,9969
cs,95,90.83,99.89,92.87,99.96,84123
cy,51.07,94.32,99.98,66.26,99.99,1777
da,96.43,84.37,99.88,89.99,99.98,65861
de,99.68,98.8,99.9,99.24,99.98,727114
el,99.98,98.25,99.99,99.11,100,40218
en,96.46,99.36,99.2,97.89,99.17,1986627
eo,99.09,96.36,99.66,97.7,99.93,793577
es,97.36,89.6,99.5,93.32,99.9,415801
et,80.72,90.07,99.98,85.14,99.99,6115
eu,66.95,96.41,99.97,79.02,99.97,6326
fa,98.2,98.57,99.99,98.38,99.99,31457
fi,98.93,91.89,99.87,95.28,99.99,151584
fr,99.33,96.54,99.74,97.91,99.96,673450
fy,18.93,85.23,99.97,30.97,99.98,711
ga,71.11,94.99,99.99,81.33,99.99,2972
gd,56.26,97.62,99.99,71.38,99.99,1050
gl,20.31,80.48,99.78,32.44,99.79,7085
gn,47.98,87.35,99.97,61.94,99.97,3367
gu,86.17,96.43,100,91.01,100,168
ha,90.55,97.31,99.97,93.81,99.98,21821
he,99.96,96.77,99.94,98.34,100,209347
hi,68.12,98.08,99.93,80.4,99.93,15624
hr,18.7,88.43,99.78,30.87,99.78,6006
ht,1.86,94.17,99.95,3.64,99.95,103
hu,99.74,92.44,99.69,95.95,99.99,421697
hy,99.92,95.94,99.99,97.89,100,29696
id,94,96.65,99.98,95.31,99.99,25952
ig,1.37,78.26,99.98,2.7,99.98,46
is,87.77,98.16,99.98,92.67,99.98,13390
it,99.52,92.79,99.33,96.04,99.96,935157
ja,99.99,99.96,100,99.98,100,246319
jv,17.17,59.3,99.96,26.63,99.96,1430
ka,100,91.63,99.99,95.63,100,7074
kk,95.39,77.88,99.99,85.75,100,4385
km,1.92,99.47,98.83,3.77,98.83,2461
kn,92.38,93.87,100,93.12,100,310
ko,9.63,98.17,98.75,17.54,98.75,14509
ku,82.28,89.67,99.97,85.82,99.98,10281
ky,20.99,72.2,99.99,32.52,99.99,536
lg,8.41,78,99.98,15.18,99.98,250
li,0.73,53.19,99.97,1.44,99.97,47
ln,71.62,98.58,99.98,82.96,99.98,4781
lo,99.57,100,100,99.78,100,229
lt,98.8,92.58,99.9,95.59,99.99,131515
lv,84.56,93.91,99.97,88.99,99.98,12480
mg,3.62,97.26,99.98,6.99,99.98,73
mk,92.42,72.89,99.76,81.5,99.96,78244
ml,100,97.49,100,98.73,100,878
mn,91.38,94.59,100,92.96,100,2792
mr,99.94,95.84,99.97,97.85,100,77592
my,100,61.3,100,76.01,100,584
ne,97.5,90.13,99.99,93.67,100,4500
nl,99.32,92.59,99.85,95.84,99.99,193399
om,1.32,90,99.99,2.6,99.99,10
or,91.55,67.25,100,77.54,100,403
pa,100,97.26,100,98.61,100,219
pl,99.37,93.16,99.91,96.17,99.99,132808
ps,8.75,97.87,100,16.06,100,47
pt,97.23,94.68,99.67,95.94,99.89,437510
qu,10.84,63.91,99.98,18.54,99.98,435
rm,0.31,88.46,99.93,0.62,99.93,26
ro,86.68,95.66,99.93,90.95,99.95,37205
ru,99.64,82.92,98.15,90.51,99.96,1140746
sa,63.73,74.1,100,68.52,100,166
sd,0.33,83.33,99.99,0.66,99.99,6
si,100,100,100,100,100,75
sk,85.51,78.12,99.91,81.65,99.97,27240
sl,49.06,69.54,99.97,57.53,99.98,3388
so,22.99,90.68,100,36.68,100,161
sq,58.64,95.02,99.98,72.52,99.98,2633
sr,88.98,39.68,99.69,54.88,99.98,50762
su,1.59,77.5,99.98,3.11,99.98,40
sv,94.71,96.12,99.95,95.41,99.97,56297
sw,69.41,95.8,99.98,80.5,99.98,4529
ta,100,94.12,100,96.97,100,561
te,100,98.09,100,99.04,100,314
th,100,99.97,100,99.99,100,6827
tl,95.65,97.35,99.95,96.49,99.97,76772
tn,2.39,82.93,99.99,4.65,99.99,41
tr,99.84,90.54,99.34,94.97,99.99,739792
ug,94.13,94.38,99.99,94.26,100,7971
uk,98.64,72.82,99.51,83.78,99.98,187391
ur,91.35,98.66,100,94.86,100,2687
uz,30.8,71.88,99.98,43.13,99.98,1163
vi,96.06,99.83,99.99,97.91,99.99,27253
wo,2.7,78.5,99.97,5.23,99.97,107
xh,41.04,86.05,100,55.57,100,258
yi,88.27,98.93,99.97,93.3,99.97,24553
yo,13.84,92.17,99.99,24.06,99.99,115
zh,99.9,99.97,100,99.93,100,98286
Micro,93.94,93.17,99.88,93.55,99.94,10711896
Macro,68.37,88.92,99.87,70.28,99.94,10711896
