language,precision,recall,accuracy,f1-score,specificity,samples
af,97.32,99.25,99.97,98.28,99.97,2009
am,100,99.1,99.99,99.55,100,2009
ar,100,97.96,99.88,98.97,100,12054
as,99.8,99,99.99,99.4,100,2009
az,99.55,98.76,99.98,99.15,100,2009
be,100,78.89,99.79,88.2,100,2009
bg,98.94,93.33,99.92,96.06,99.99,2009
bn,98.57,99.35,99.98,98.96,99.99,2009
ca,99.01,99.3,99.98,99.16,99.99,2009
cs,98.17,96.12,99.94,97.13,99.98,2009
cy,99.9,100,100,99.95,100,2009
da,99.37,94.47,99.94,96.86,99.99,2009
de,99.26,99.85,99.99,99.55,99.99,2009
el,100,100,100,100,100,2009
en,91.64,99.85,99.91,95.57,99.91,2009
eo,99.3,99.4,99.99,99.35,99.99,2009
es,95.42,97.56,99.93,96.48,99.95,2009
et,99.34,96.86,99.96,98.08,99.99,2009
eu,99.85,99.95,100,99.9,100,2009
fa,97.38,100,99.97,98.67,99.97,2009
fi,99.38,95.97,99.95,97.64,99.99,2009
fr,98.24,99.75,99.98,98.99,99.98,2009
ga,99.8,99.55,99.99,99.68,100,2009
gd,99.65,99.85,100,99.75,100,2009
gl,95.75,92.98,99.89,94.34,99.96,2009
gn,99.35,99.55,99.99,99.45,99.99,2009
gu,100,99.95,100,99.98,100,2009
ha,98.72,99.95,99.99,99.33,99.99,2009
he,100,99.15,99.99,99.58,100,2009
hi,92.32,99.95,99.92,95.98,99.92,2009
hr,97.11,97.01,99.94,97.06,99.97,2009
ht,99.31,99.9,99.99,99.6,99.99,2009
hu,99.8,99.1,99.99,99.45,100,2009
hy,100,99.6,100,99.8,100,2009
id,99.26,99.7,99.99,99.48,99.99,2009
ig,98.96,99.85,99.99,99.41,99.99,2009
is,99.85,99.75,100,99.8,100,2009
it,99.4,99.55,99.99,99.48,99.99,2009
ja,100,100,100,100,100,2009
jv,98.57,99.5,99.98,99.03,99.99,2009
ka,100,99.4,99.99,99.7,100,2009
kk,100,91.34,99.91,95.47,100,2009
km,56.85,100,99.25,72.49,99.24,2009
kn,100,98.61,99.99,99.3,100,2009
ko,100,100,100,100,100,2009
ku,99.55,99.6,99.99,99.58,100,2009
ky,99.95,93.53,99.94,96.63,100,2009
lg,99.19,98.06,99.97,98.62,99.99,2009
li,99.48,95.57,99.95,97.49,100,2009
ln,99.45,99.9,99.99,99.68,99.99,2009
lo,100,100,100,100,100,2009
lt,99.49,98.01,99.98,98.75,100,2009
lv,99.9,99,99.99,99.45,100,2009
mk,97.59,96.67,99.94,97.12,99.98,2009
ml,100,94.67,99.95,97.26,100,2009
mr,98.52,99.1,99.98,98.81,99.99,2009
my,100,60.28,99.61,75.22,100,2009
ne,97.91,97.81,99.96,97.86,99.98,2009
nl,96.96,98.56,99.96,97.75,99.97,2009
om,100,99.9,100,99.95,100,2009
or,100,99.85,100,99.93,100,2009
pa,100,100,100,100,100,2009
pl,99.09,97.86,99.97,98.47,99.99,2009
pt,97.18,48.81,98.96,64.98,99.97,4018
qu,99.54,96.62,99.96,98.06,100,2009
ro,99.31,99.65,99.99,99.48,99.99,2009
ru,99.89,88.65,99.89,93.93,100,2009
sa,100,91.29,99.91,95.45,100,2009
sd,98.33,99.95,99.98,99.14,99.98,2009
si,100,100,100,100,100,2009
sk,98.7,94.82,99.94,96.73,99.99,2009
sl,97.81,95.57,99.93,96.68,99.98,2009
so,99.9,99.85,100,99.88,100,2009
sr,99.84,91.44,99.91,95.45,100,2009
su,99.7,98.41,99.98,99.05,100,2009
sv,99.3,99.1,99.98,99.2,99.99,2009
sw,98.91,99.7,99.99,99.31,99.99,2009
ta,100,99.05,99.99,99.52,100,2009
te,100,99.05,99.99,99.52,100,2009
th,99.85,100,100,99.93,100,2009
tl,98.82,100,99.99,99.41,99.99,2009
tn,98.45,91.84,99.9,95.03,99.99,2009
tr,98.21,98.56,99.97,98.39,99.98,2009
ug,99.6,99.7,99.99,99.65,100,2009
uk,100,86.36,99.86,92.68,100,2009
ur,99.36,100,99.99,99.68,99.99,2009
uz,99.8,99.3,99.99,99.55,100,2009
vi,99.95,100,100,99.98,100,2009
wo,99.55,99.55,99.99,99.55,100,2009
xh,99.95,93.93,99.94,96.84,100,2009
yi,99.6,100,100,99.8,100,2009
yo,99.65,99.25,99.99,99.45,100,2009
zh,100,100,100,100,100,6027
Micro,97.23,96.6,99.94,96.91,99.97,202909
Macro,98.64,96.97,99.95,97.56,99.98,202909
