language,precision,recall,accuracy,f1-score,specificity,samples
af,100,100,100,100,100,1
ar,100,75,99.95,85.71,100,4
br,50,100,99.95,66.67,99.95,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,100,100,100,100,10
cy,100,100,100,100,100,4
da,100,90.91,99.95,95.24,100,11
de,97.01,84.42,99.24,90.28,99.89,77
el,50,100,99.95,66.67,99.95,1
en,99.51,59.92,62.93,74.8,96.69,1705
eo,100,100,100,100,100,1
es,95.59,72.22,98.48,82.28,99.83,90
et,50,100,99.95,66.67,99.95,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,100,100,100,100,5
fr,99.11,85.77,91.54,91.96,99.01,1043
gl,25,100,99.84,40,99.84,1
hi,80,100,99.95,88.89,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,83.33,83.33,99.89,83.33,99.95,6
id,79.59,98.73,98.86,88.14,98.87,79
is,100,100,100,100,100,1
it,84.78,97.5,99.57,90.7,99.61,40
ja,76.92,52.63,99.35,62.5,99.84,19
ko,80,57.14,99.57,66.67,99.89,14
lt,50,100,99.95,66.67,99.95,1
lv,83.33,100,99.95,90.91,99.95,5
mk,100,100,100,100,100,1
nl,96.67,85.29,99.67,90.63,99.94,34
no,100,100,100,100,100,6
pl,60,75,99.84,66.67,99.89,4
pt,96.05,97.33,99.73,96.69,99.83,75
ro,100,100,100,100,100,4
ru,100,66.67,99.95,80,100,3
sk,100,66.67,99.95,80,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,83.33,90.91,99.84,86.96,99.89,11
sw,100,100,100,100,100,1
th,100,90.91,99.95,95.24,100,11
tl,55.56,83.33,99.73,66.67,99.78,6
tr,78.26,100,99.73,87.8,99.73,18
uk,100,100,100,100,100,1
ur,0,0,99.95,0,100,1
vi,100,62.5,99.67,76.92,100,16
zh,97.65,49.4,90.57,65.61,99.73,336
Micro,96.41,70.54,99.38,81.47,99.95,3667
Macro,82.31,85.3,98.66,81.37,99.82,3667
