language,precision,recall,accuracy,f1-score,specificity,samples
af,99.75,100,100,99.88,100,813
am,100,100,100,100,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,99.84,99.84,100,99.84,100,636
az,99.63,99.01,99.99,99.31,100,805
be,99.87,85.9,99.82,92.36,100,929
bg,99.88,95.99,99.95,97.89,100,872
bn,98.23,99.84,99.98,99.03,99.99,612
br,98.8,99.76,99.98,99.28,99.99,825
ca,99.19,98.39,99.97,98.79,99.99,869
cs,99.21,98.54,99.97,98.88,99.99,893
cy,99.47,100,99.99,99.74,99.99,756
da,99.41,98.15,99.97,98.78,99.99,863
de,96.28,99.36,99.94,97.8,99.95,939
el,100,99.89,100,99.94,100,882
en,96.18,98.56,99.81,97.35,99.86,2631
eo,92.52,99.77,99.9,96,99.91,855
es,93.77,96.15,99.88,94.94,99.92,908
et,100,98.26,99.98,99.12,100,805
eu,99.79,99.58,99.99,99.68,100,947
fa,100,100,100,100,100,11
fi,100,99.28,99.99,99.64,100,835
fr,97.67,98.2,99.93,97.93,99.96,1278
fy,99.76,99.15,99.99,99.45,100,826
ga,99.77,99.66,99.99,99.71,100,877
gd,100,99.75,100,99.87,100,791
gl,95.04,97.67,99.91,96.34,99.94,902
gn,99.56,98.91,99.98,99.23,99.99,915
gu,100,100,100,100,100,773
ha,99.05,99.64,99.99,99.34,99.99,837
he,99.42,99.65,99.99,99.54,99.99,864
hi,97.3,100,99.97,98.63,99.97,757
hr,93.17,98.81,99.9,95.91,99.92,842
ht,99.9,100,100,99.95,100,976
hu,99.78,99.35,99.99,99.56,100,918
hy,100,98.34,99.98,99.16,100,903
id,96.85,99.65,99.96,98.23,99.96,864
ig,99.14,99.88,99.99,99.51,99.99,806
is,99.87,99.87,100,99.87,100,745
it,97.06,95.65,99.91,96.35,99.96,896
ja,98.97,98.97,100,98.97,100,97
jv,99.63,97.13,99.96,98.36,100,836
ka,99.89,99.33,99.99,99.61,100,891
kk,100,97.31,99.97,98.64,100,781
km,30.3,100,99.59,46.5,99.59,133
kn,99.87,100,100,99.93,100,763
ko,91.17,100,99.89,95.38,99.89,867
ku,99.63,98.67,99.98,99.15,100,827
ky,100,97.58,99.97,98.78,100,869
lg,99.54,99.54,99.99,99.54,100,649
li,98.89,98.73,99.98,98.81,99.99,632
ln,98.9,96.5,99.95,97.68,99.99,743
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,97.51,99.97,98.68,100,923
lv,100,99.66,100,99.83,100,873
mg,99.51,100,100,99.76,100,612
mk,99.66,99.09,99.99,99.37,100,878
ml,100,99.65,100,99.83,100,573
mn,100,99.33,99.99,99.67,100,749
mr,99.83,99.49,99.99,99.66,100,586
my,100,90.79,99.99,95.17,100,76
ne,99.82,97.74,99.98,98.77,100,575
nl,97.9,98.79,99.97,98.35,99.98,662
om,99.88,99.88,100,99.88,100,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,97.99,98.43,99.96,98.21,99.98,892
ps,100,97.94,100,98.96,100,97
pt,97.4,98.52,99.95,97.96,99.97,876
qu,98.53,95.86,99.95,97.18,99.99,700
rm,99.33,99.06,99.98,99.19,99.99,745
ro,99.33,99.44,99.99,99.39,99.99,899
ru,96.63,89.71,99.84,93.04,99.96,894
sa,100,98.28,99.99,99.13,100,640
sd,100,97.06,100,98.51,100,34
si,99.51,100,100,99.75,100,605
sk,99.32,97.88,99.97,98.59,99.99,896
sl,99.06,95.46,99.94,97.23,99.99,882
so,100,93.88,99.93,96.84,100,800
sq,99.51,99.39,99.99,99.45,99.99,825
sr,99.88,92.82,99.92,96.22,100,864
su,100,99.11,99.99,99.56,100,903
sv,99.38,99.75,99.99,99.57,99.99,808
sw,99.22,99.74,99.99,99.48,99.99,764
ta,100,99.46,99.99,99.73,100,740
te,100,99.87,100,99.94,100,773
th,88.67,100,99.95,94,99.95,274
tl,99.75,99.87,100,99.81,100,785
tn,99.17,98.48,99.97,98.82,99.99,854
tr,97.74,99.16,99.97,98.44,99.97,830
ug,100,92.68,99.99,96.2,100,82
uk,99.76,92.23,99.9,95.85,100,914
ur,100,100,100,100,100,180
uz,100,99.08,99.99,99.54,100,764
vi,100,99.87,100,99.94,100,792
wo,99.66,95.55,99.94,97.56,100,921
xh,100,99.5,99.99,99.75,100,799
yi,99.62,99.12,99.99,99.37,100,798
yo,99.85,95.82,99.96,97.79,100,694
zh,94.19,100,99.99,97.01,99.99,81
Micro,98.34,98.32,99.97,98.33,99.98,74564
Macro,98.2,98.33,99.97,98.05,99.98,74564
